recinto,registros,funciones,aforo_max
SALITRE MAGICO,20,4,1530
ESTADIO GENERAL SANTANDER - SILVESTRE 2024,19,1,23335
TEATRO TALLER DE COLOMBIA,19,19,160
FUNDACION ESCENICA CALI TEATRO - CRA 12 # 4 - 51,19,17,150
CAFE INTERNET - BOGOTA,18,18,50
TEATRO HILOS MAGICOS,18,18,150
ESTACION METRO LA ESTRELLA,18,3,460
ESTADIO JARAGUAY,18,3,7500
LA CASA DEL OSO,18,18,200
CENTRO DE EVENTOS CENFER,18,4,9803
LABORARTORIO 1 Y 2,18,18,50
PARQUE METROPOLITANO SIMON BOLIVAR,17,4,19181
TEATRO LIBRE CENTRO,17,17,170
CARRUSEL DEL RIO,17,9,4140
CARRERA 50 BARRANQUILLA,16,16,15000
TEATRO LA CANDELARIA,16,16,200
CENTRO DE EVENTOS AUTOPISTA NORTE,16,2,6180
LOTE FRENDE AL HOMCENTER,16,4,300
CAPILLA SANTA TERESA,16,4,216
HOTEL ATOLON BEACH CLUB,16,2,6000
CARPA AMERICAS CORFERIAS,16,2,6620
CIUDADELA CUARTA REVOLUCION Y TRANSFORMACION DEL APRENDIZAJE,16,16,400
COUNTRY CLUB DE BOGOTA - CL 127C #15-2,15,3,1144
TEATRO LAS BETHLEMITAS - CARRERA 43 # 17 A 34,15,6,1477
POLIDEPORTIVO SUR DE ENVIGADO - FERIA DE FLORES 2024,15,1,21873
TEATRO LYCEE FRANÇAIS LOUIS PASTEUR - BOGOTA,15,15,236
ESTADIO HERNAN RAMIREZ VILLEGAS,15,1,40124
COLISEO BERNARDO CARABALLO,14,14,600
ESTADIO SIERRA NEVADA,14,1,20222
LE TIENDE - CARRERA 24 # 37-44 BOGOTA,14,14,70
CENTRO CULTURAL GIMNASIO MODERNO,14,8,586
MUNDO AVENTURA,13,2,5181
"TEATRO EL ENSUEO - TV 70 D # 60 - 90 SUR, BOGOTA (GA)",13,7,1100
CLUB COMFAMILIAR LOS LAGOS,13,2,10204
EXPOFUTURO - PEREIRA,13,5,4920
ESTADIO FRANCISCO RIVERA ESCOBAR - PALMIRA,13,3,12538
CITY HALL EL RODEO - MEDELLIN,12,3,3900
ESTADIO DE BEISBOL LA ESPERANZA,12,1,9593
CITY HALL - PAUL VAN DYK MEDELLIN,12,2,3910
CENTRO NACIONAL DE LAS ARTES - SALA TERESITA GOMEZ,12,12,120
AUTODROMO DE TOCANCIPA,12,6,15000
AUDITORIO PALACIO DE LA PROCLAMACION,12,3,250
PLAZA DE TOROS CAAVERALEJO - CALI,12,1,7340
TUTAINA EJE CAFETERO - PEREIRA,12,12,150
CINCUENTENARIO,12,3,10450
MALECON - CALLE 72,12,3,1997
SKYCENTER CENTRO DE EVENTOS - MEDELLIN,12,3,2800
TEATRO GUILLERMO MATERON - PALMIRA,12,3,401
PLAZA DE TOROS MARRUECOS PUENTE DE PIEDRA,12,1,2526
TEATRO CAJAMAG - CLL 23 # 7 78 SANTA MARTA,12,3,834
BAR BABA YAGA TASCA - BUCARAMANGA,12,12,120
SALA MARIA ISABEL MURILLO,12,12,70
LAS TERRAZAS RIO LUNA,11,2,1089
SALA BEETHOVEN - CALI,11,11,653
SALA ANTONIO MARIA VALENCIA  - CALI,11,11,653
PLAZA PRINCIPAL,11,2,650
LOURDES MUSIC HALL  - BOGOTA,11,4,2848
PARQUE NORTE - CANCHA CINCUENTENARIO (UNIDAD DEP),11,1,11000
TEATRO QUIMERA,10,10,100
UNIVERSIDAD EAN - CARRERA 11 # 78-47,10,5,4800
AUDITORIO MARIO LASERNA - U LOS ANDES,10,5,492
FACULTAD DE ARTES – UNIVERSIDAD JAVERIANA,10,10,12
AUDITORIO UNIVERSIDAD EAN,10,10,503
AUDITORIO MUNICIPAL DE MOSQUERA,10,4,686
TEATRO JORGE ARANGO TAMAYO - CHIA,10,5,1199
RUMBODROMO DE LA 22,10,1,8421
TEATRO BERNARDO ROMERO LOZANO,10,10,125
PLAZA DE TOROS - BUCARAMANGA,10,1,15200
ESTADIO HERMIDES PADILLA,10,1,10390
TEATRO ASTOR PLAZA 2,10,10,42
VIA 40 (34-39),9,9,2785
VILLA OLIMPICA - AGUSTIN CODAZZI,9,1,1800
VIA 40 (27-28),9,9,1201
