site,type_site,confianza,aforo_max,funciones,fecha_clasificacion,fuente,modelo_llm
TEATRO ECCI,teatro,0.95,609,1,2026-09-24,reglas_heuristicas,
CENTRO INTERACTIVO MALOKA,cine_sala_cultural,0.985,472,3,2026-09-24,reglas_heuristicas,
AUDITORIO SKANDIA,auditorio,0.93,248,1,2026-09-24,reglas_heuristicas,
AUDITORIO MARIE POUSSEPIN,auditorio,0.93,878,3,2026-09-24,reglas_heuristicas,
CLUB DE LOS ASADOS - FINCA DE RIGO,bar_club,0.915,402,1,2026-09-24,reglas_heuristicas,
FUNDACION ESCENICA CALI TEATRO,teatro,0.95,150,3,2026-09-24,reglas_heuristicas,
TEATRO IMPERIAL  CRA 26 NO 14 - 59  PASTO,teatro,0.95,518,2,2026-09-24,reglas_heuristicas,
COLISEO ARENA DE SAL,arena_cubierta,0.91,2306,1,2026-09-24,reglas_heuristicas,
TEATRO LA MASCARA - CRA 10 # 3-40,teatro,0.95,103,3,2026-09-24,reglas_heuristicas,
TEATRO LAURELES,teatro,0.95,242,3,2026-09-24,reglas_heuristicas,
TEATRO LA SALA,teatro,0.95,120,3,2026-09-24,reglas_heuristicas,
CLUB CAMPESTRE DE VALLEDUPAR,bar_club,0.915,1200,3,2026-09-24,reglas_heuristicas,
AUDITORIO UNIVERSIDAD SANTO TOMAS,auditorio,0.93,446,1,2026-09-24,reglas_heuristicas,
TEATRO MEXICO - CL 22 #5-85 BOGOTA,teatro,0.95,1286,1,2026-09-24,reglas_heuristicas,
PARQUE LA MARINA,parque_aire_libre,0.895,2000,2,2026-09-24,reglas_heuristicas,
TEATRO MUNICIPAL SUA,teatro,0.95,447,1,2026-09-24,reglas_heuristicas,
AUDITORIO UIS SEDE BARBOSA,auditorio,0.93,232,2,2026-09-24,reglas_heuristicas,
ESTADIO METROPOLITANO CIUDAD DE ITAGNI,estadio_abierto,0.985,7600,1,2026-09-24,reglas_heuristicas,
AUDITORIO MAYOR CARLOS GOMEZ ALBARRACIN - B/MANGA,auditorio,0.93,780,2,2026-09-24,reglas_heuristicas,
TEATRO JUAN DE DIOS ARANZAZU - LA CEJA,teatro,0.95,484,1,2026-09-24,reglas_heuristicas,
MALECON TURISTICO RIO MAGDALENA,parque_aire_libre,0.895,550,1,2026-09-24,reglas_heuristicas,
KRUDA DISCO BAR - CRA 56 4B 57,bar_club,0.915,152,1,2026-09-24,reglas_heuristicas,
CASA DEL CARNAVAL & VIA 40,parque_aire_libre,0.885,500,2,2026-09-24,reglas_heuristicas,
TEATRO BELARTE - AG,teatro,0.95,189,1,2026-09-24,reglas_heuristicas,
TEATRO CASA DE LA CULTURA CHINCHINA - CALDAS,teatro,0.95,170,2,2026-09-24,reglas_heuristicas,
CENTRO DE CONVENCIONES META HOTEL GHL,centro_eventos_carpa,0.855,1000,1,2026-09-24,reglas_heuristicas,
AUDITORIO MAYOR UNAB AV 42 NO 48-11 - B/MANGA,auditorio,0.93,796,2,2026-09-24,reglas_heuristicas,
AUDITORIO HOTEL BACHUE,auditorio,0.93,216,2,2026-09-24,reglas_heuristicas,
TEATRO TEOFILO CARVAJAL POLANIA - CLL 7 NO 6A - 65,teatro,0.95,160,2,2026-09-24,reglas_heuristicas,
TEATRO UNIVERSIDAD CES,teatro,0.95,503,1,2026-09-24,reglas_heuristicas,
VIA 40,parque_aire_libre,0.885,181,2,2026-09-24,reglas_heuristicas,
AUDITORIO LUCY TEJADA,auditorio,0.93,392,1,2026-09-24,reglas_heuristicas,
CASA TEATRO EL POBLADO,teatro,0.95,200,2,2026-09-24,reglas_heuristicas,
AUDITORIO SOMOS CREADORES,auditorio,0.93,1000,2,2026-09-24,reglas_heuristicas,
UNIVERSIDAD DE IBAGUE,auditorio,0.985,300,2,2026-09-24,reglas_heuristicas,
AUDITORIO ANTON KRAUS - COLEGIO ANDINO,auditorio,0.93,850,2,2026-09-24,reglas_heuristicas,
AUDITORIO UNIVERSIDAD DE MEDELLIN,auditorio,0.93,150,2,2026-09-24,reglas_heuristicas,
AUDITORIO  COMITE DE GANADEROS DE LA DORADA,auditorio,0.93,170,2,2026-09-24,reglas_heuristicas,
TEATRO BERRIO - SANTA ROSA DE OSOS,teatro,0.95,318,2,2026-09-24,reglas_heuristicas,
TEATRO DEL PRESAGIO - CALI,teatro,0.95,200,2,2026-09-24,reglas_heuristicas,
440 MUSIC HALL,bar_club,0.985,785,1,2026-09-24,reglas_heuristicas,
AUDITORIO LUIS MARTIN MANCIPE DE CULTURAMA | DUITAMA,auditorio,0.93,365,2,2026-09-24,reglas_heuristicas,
CAMARA DE COMERCIO DE CASANARE - AUDITORIO QUIRIPA,auditorio,0.93,656,1,2026-09-24,reglas_heuristicas,
MONASTERY CLUB,bar_club,0.985,380,1,2026-09-24,reglas_heuristicas,
CAMARA DE COMERCIO  DUITAMA: CENTRO DE EVENTOS Y NEGOCIOS,centro_eventos_carpa,0.925,900,1,2026-09-24,reglas_heuristicas,
"CINE COLOMBO, MEDELLIN",cine_sala_cultural,0.985,160,1,2026-09-24,reglas_heuristicas,
CENTRO NACIONAL DE LAS ARTES - SALA FOYER CLL10 NO 5-32,teatro,0.985,100,1,2026-09-24,reglas_heuristicas,
PARQUE DE LOS PIES DESCALZOS,parque_aire_libre,0.895,1000,1,2026-09-24,reglas_heuristicas,
PARQUE EL COUNTRY,parque_aire_libre,0.895,800,1,2026-09-24,reglas_heuristicas,
IDILIO BAR,bar_club,0.915,80,1,2026-09-24,reglas_heuristicas,
AUDITORIO CINEMA CASANARE - CLL9 #23-33 (YOPAL),auditorio,0.93,300,1,2026-09-24,reglas_heuristicas,
AUDITORIO HOTEL WAYRA DG 15 NO 21-10 (ACACIAS),auditorio,0.93,180,1,2026-09-24,reglas_heuristicas,
AUDITORIO GONZALO PRADA MANTIL,auditorio,0.93,382,1,2026-09-24,reglas_heuristicas,
AUDITORIO COPACABANA - CALLE 49 # 57A -47,auditorio,0.93,130,1,2026-09-24,reglas_heuristicas,
LA MEDIA TORTA,parque_aire_libre,0.985,2004,1,2026-09-24,reglas_heuristicas,
ESTADIO DITAIRES,estadio_abierto,0.985,3000,1,2026-09-24,reglas_heuristicas,
AUDITORIO CEG,auditorio,0.93,700,1,2026-09-24,reglas_heuristicas,
TEATRO UNION HONDA TOLIMA,teatro,0.95,300,1,2026-09-24,reglas_heuristicas,
TEATRO PUNTO DE PARTIDA,teatro,0.95,30,1,2026-09-24,reglas_heuristicas,
TEATRO TEB - TUNJA,teatro,0.95,115,1,2026-09-24,reglas_heuristicas,
UNIVERSIDAD INDUSTRIAL DE SANTANDER,auditorio,0.985,203,1,2026-09-24,reglas_heuristicas,
AUDITORIO CAMARA DE COMERCIO DE IPIALES,auditorio,0.93,200,1,2026-09-24,reglas_heuristicas,
AUDITORIO CAMARA DE COMERCIO  CARTAGO,auditorio,0.93,270,1,2026-09-24,reglas_heuristicas,
AUDITORIO CAMARA DE COMERCIO DE FLORENCIA,auditorio,0.93,350,1,2026-09-24,reglas_heuristicas,
AUDITORIO CAMARA DE COMERCIO DEL CAUCA - QUILICHAO,auditorio,0.93,160,1,2026-09-24,reglas_heuristicas,
CINEMATECA DE BOGOTA - CENTRO GRAL,cine_sala_cultural,0.935,30,1,2026-09-24,reglas_heuristicas,
AUDITORIO BIBLIOTECA GERMAN ARCINIEGAS - V/CENCIO,auditorio,0.93,400,1,2026-09-24,reglas_heuristicas,
"AUDITORIO LAS GARZAS COLEGIO COFREM - ACACIAS, META",auditorio,0.93,350,1,2026-09-24,reglas_heuristicas,
AUDITORIO CINEMA CASANARE - CLL 9 NO 22-75 (YOPAL),auditorio,0.93,324,1,2026-09-24,reglas_heuristicas,
LULA SHOTS BAR - CALLE 84A # 14 A -4,bar_club,0.915,100,1,2026-09-24,reglas_heuristicas,
LOOP CLUB - TUNJA,bar_club,0.915,150,1,2026-09-24,reglas_heuristicas,
BAR LA TEQUILERA - FUSAGASUGA,bar_club,0.915,170,1,2026-09-24,reglas_heuristicas,
"AUDITORIO ZEA MAYZ - CRA 8 #16 54, CHIA",auditorio,0.93,700,1,2026-09-24,reglas_heuristicas,
AVALON DISCO BAR CR2 N334	(ANAPOIMA),bar_club,0.915,180,1,2026-09-24,reglas_heuristicas,
TEATRO CINEMA - CALLE 6 # 13- 07 (BUGA),teatro,0.95,402,1,2026-09-24,reglas_heuristicas,
TEATRO DON JUAN DE MARIA MARULANDA,teatro,0.95,301,1,2026-09-24,reglas_heuristicas,
TEATRO EL ESCONDITE,teatro,0.95,90,1,2026-09-24,reglas_heuristicas,
TEATRO EL ESPACIO - CALLE 39A # 25 - 28,teatro,0.95,40,1,2026-09-24,reglas_heuristicas,
TEATRO CECILIA | PAMPLONA N/SANTANDER,teatro,0.95,303,1,2026-09-24,reglas_heuristicas,
TEATRO CENTRO CULTURAL VALERIO ANTONIO JIMENEZ,teatro,0.95,700,1,2026-09-24,reglas_heuristicas,
BIBLIOTECA NACIONAL DE COLOMBIA,cine_sala_cultural,0.985,8,1,2026-09-24,reglas_heuristicas,
BOGOTA (DIRECCION EXACTA SE COMPARTE TRAS INSCRIPCION),otro,0.985,30,1,2026-09-24,reglas_heuristicas,
SALVIO PARQUE 93 HOTEL,parque_aire_libre,0.895,100,1,2026-09-24,reglas_heuristicas,
TEATRO CASA DE LOS TITERES - CRA 9 # 4-55 COMUNA 3 - CALI,teatro,0.95,100,1,2026-09-24,reglas_heuristicas,
DOUBLETREE BY HILTON PARQUE 93,parque_aire_libre,0.895,200,1,2026-09-24,reglas_heuristicas,
RESTAURANTE LA ZIMA,bar_club,0.915,250,1,2026-09-24,reglas_heuristicas,
"PROVINCIA  BAR -  CRA 7 #7-45, UBATE, CUNDINAMARCA",bar_club,0.915,100,1,2026-09-24,reglas_heuristicas,
PLAZA DE BOLIVAR,parque_aire_libre,0.985,200,1,2026-09-24,reglas_heuristicas,
PLAZA DE LA PAZ,parque_aire_libre,0.985,3758,1,2026-09-24,reglas_heuristicas,
PLAZA DE TOROS LA MONUMENTAL,parque_aire_libre,0.895,8000,1,2026-09-24,reglas_heuristicas,
RESTAURANTE EL PORTICO - EL PORTICO KM 19 AUTOPISTA NORTE,bar_club,0.915,2500,1,2026-09-24,reglas_heuristicas,
RESTAURANTE BAR AMAZONICA VILLAVICENCIO,bar_club,0.915,100,1,2026-09-24,reglas_heuristicas,
"BARCELONA BAR, PORTAL DE CERRITOS",bar_club,0.915,84,1,2026-09-24,reglas_heuristicas,
"CLUB MEDELLIN, CALLE 50 # 43-65",bar_club,0.915,800,1,2026-09-24,reglas_heuristicas,
BAR REY LAGARTO CARRERA 29 #17-74 CENTRO,bar_club,0.915,150,1,2026-09-24,reglas_heuristicas,
"BAR SANTA FARRA - CL 17 #13 - 72, CENTRO-SUR",bar_club,0.915,100,1,2026-09-24,reglas_heuristicas,
FUNDACION AUTONOMA DE LA SALLE AUDITORIO,auditorio,0.93,300,1,2026-09-24,reglas_heuristicas,
FROGG CLUB,bar_club,0.985,450,1,2026-09-24,reglas_heuristicas,
BAR LONDON BRIDGE PUB - CUCUTA,bar_club,0.915,74,1,2026-09-24,reglas_heuristicas,
TEATRO METROPOLITANO - ZONA ABIERTA,teatro,0.95,4000,1,2026-09-24,reglas_heuristicas,
"COPA AMERICA - NRG STADIUM, HOUSTON, TEXAS",estadio_abierto,0.985,150,1,2026-09-24,reglas_heuristicas,
HOOKA CLUB  AVENIDA CIRCUNVALAR,bar_club,0.915,150,1,2026-09-24,reglas_heuristicas,
TEATRO MUNICIPAL GILDARDO TOVAR,teatro,0.95,300,1,2026-09-24,reglas_heuristicas,
CLUB CAMPESTRE DE IBAGUE,bar_club,0.915,300,1,2026-09-24,reglas_heuristicas,
FINAL COPA,otro,0.985,1,1,2026-09-24,reglas_heuristicas,
AUDITORIO RAFAEL ARDILA DUARTE,auditorio,0.93,340,1,2026-09-24,reglas_heuristicas,
TEATRO NOEMI GONZALEZ DE CORRALES- CASA DE LA CULTURA,teatro,0.95,175,1,2026-09-24,reglas_heuristicas,
AUDITORIO LUIS FELIPE VELEZ HERRERA - ADIDA CL 57 #42-70,auditorio,0.93,660,1,2026-09-24,reglas_heuristicas,
AEROPARQUE JUAN PABLO SEGUNDO,parque_aire_libre,0.985,4000,1,2026-09-24,reglas_heuristicas,
BARRIO LAS FLORES TAJAMAR,otro,1.0,3200,108,2026-09-24,revision_humana,
CENTRO COMERCIAL SERREZUELA,otro,1.0,556,14,2026-09-24,revision_humana,
SALON AUDIOVISUAL,cine_sala_cultural,1.0,100,60,2026-09-24,revision_humana,
LA GALLERA,otro,1.0,300,44,2026-09-24,revision_humana,
AVENIDA BOYACA CLL 78- 80,parque_aire_libre,1.0,1002,10,2026-09-24,revision_humana,
CAPILLA SANTA CLARA,otro,1.0,300,14,2026-09-24,revision_humana,
CENTRO COMERCIAL LOS MOLINOS,otro,1.0,700,15,2026-09-24,revision_humana,
LA CASA DEL OSO,bar_club,1.0,200,18,2026-09-24,revision_humana,
CARRUSEL DEL RIO,parque_aire_libre,1.0,4140,9,2026-09-24,revision_humana,
LOTE FRENDE AL HOMCENTER,parque_aire_libre,1.0,300,4,2026-09-24,revision_humana,
CAPILLA SANTA TERESA,otro,1.0,216,4,2026-09-24,revision_humana,
CIUDADELA CUARTA REVOLUCION Y TRANSFORMACION DEL APRENDIZAJE,otro,1.0,400,16,2026-09-24,revision_humana,
LE TIENDE - CARRERA 24 # 37-44 BOGOTA,bar_club,1.0,70,14,2026-09-24,revision_humana,
CITY HALL EL RODEO - MEDELLIN,centro_eventos_carpa,1.0,3900,3,2026-09-24,revision_humana,
CITY HALL - PAUL VAN DYK MEDELLIN,centro_eventos_carpa,1.0,3910,2,2026-09-24,revision_humana,
TUTAINA EJE CAFETERO - PEREIRA,bar_club,1.0,150,12,2026-09-24,revision_humana,
CINCUENTENARIO,parque_aire_libre,1.0,10450,3,2026-09-24,revision_humana,
SALA MARIA ISABEL MURILLO,teatro,1.0,70,12,2026-09-24,revision_humana,
LAS TERRAZAS RIO LUNA,otro,1.0,1089,2,2026-09-24,revision_humana,
SALA BEETHOVEN - CALI,teatro,1.0,653,11,2026-09-24,revision_humana,
SALA ANTONIO MARIA VALENCIA  - CALI,teatro,1.0,653,11,2026-09-24,revision_humana,
PLAZA PRINCIPAL,parque_aire_libre,1.0,650,2,2026-09-24,revision_humana,
FACULTAD DE ARTES – UNIVERSIDAD JAVERIANA,auditorio,1.0,12,10,2026-09-24,revision_humana,
RUMBODROMO DE LA 22,centro_eventos_carpa,1.0,8421,1,2026-09-24,revision_humana,
VILLA OLIMPICA - AGUSTIN CODAZZI,otro,1.0,1800,1,2026-09-24,revision_humana,
PATIO CENTRAL DEL CENTRO CULTURAL DEL ORIENTE,otro,1.0,980,1,2026-09-24,revision_humana,
ASDESILLA RIONEGRO,parque_aire_libre,1.0,3588,3,2026-09-24,revision_humana,
HOTEL DANN CARLTON MEDELLIN,cine_sala_cultural,1.0,350,8,2026-09-24,revision_humana,
CENTRO CULTURAL METROPOLITANO DE CONVENCIONES - ARMENIA,centro_eventos_carpa,1.0,1512,3,2026-09-24,revision_humana,
ESTACION DE SERVICIO SAN DIEGO,otro,1.0,180,7,2026-09-24,revision_humana,
CITY HALL EL RODEO,centro_eventos_carpa,1.0,50000,2,2026-09-24,revision_humana,
HOTEL TEQUENDAMA - SUITES TEQUENDAMA,cine_sala_cultural,1.0,1000,6,2026-09-24,revision_humana,
ITO RESTOBAR,bar_club,1.0,1151,1,2026-09-24,revision_humana,
CENTRO DE DANZA - LA LICORERA,auditorio,1.0,450,6,2026-09-24,revision_humana,
IGLESIA DE SAN IGNACIO - BOGOTA,otro,1.0,740,2,2026-09-24,revision_humana,
FINCA LA BENDICION - SANTA ELENA,otro,1.0,360,3,2026-09-24,revision_humana,
FONDA TUTAINA -  POBLADO CALLE 10 # 43E – 72,bar_club,1.0,100,6,2026-09-24,revision_humana,
ROYAL HOUSE,otro,1.0,1200,5,2026-09-24,revision_humana,
CENTRO DE CONVENCIONES ''JULIO VILLAZON BAQUERO'',centro_eventos_carpa,1.0,1209,1,2026-09-24,revision_humana,
BEETHOVEN-BELLAS ARTES - CALI,auditorio,1.0,653,1,2026-09-24,revision_humana,
CENTRO COMERCIAL PASEO VILLA DEL RIO,otro,1.0,2495,1,2026-09-24,revision_humana,
CITY HALL EL RODEO - DRUMCODE,centro_eventos_carpa,1.0,3654,1,2026-09-24,revision_humana,
CATEDRAL DE BARRANQUILLA,otro,1.0,1589,3,2026-09-24,revision_humana,
ALUNA BEACH - SANTA MARTA,parque_aire_libre,1.0,5150,1,2026-09-24,revision_humana,
DOUBLE TREE BY HILTON SALITRE,otro,1.0,300,5,2026-09-24,revision_humana,
HOTEL HILTON CARTAGENA,centro_eventos_carpa,1.0,1350,1,2026-09-24,revision_humana,
RIVANA BUSINESS PARK,centro_eventos_carpa,1.0,100,3,2026-09-24,revision_humana,
LA CENTRAL - CALI,otro,1.0,81,4,2026-09-24,revision_humana,
CASA BALI - ZONA E,centro_eventos_carpa,1.0,1100,1,2026-09-24,revision_humana,
MONUMENTO A LA MADRE TIERRA,parque_aire_libre,1.0,2500,3,2026-09-24,revision_humana,
SALA: TALLER DE LA IMAGEN,cine_sala_cultural,1.0,15,3,2026-09-24,revision_humana,
AVCIRCUNVALAR,otro,1.0,1000,3,2026-09-24,revision_humana,
HOTEL GRAND GHL - CRA 39C #19C 15 VILLAVICENCIO,centro_eventos_carpa,1.0,1000,2,2026-09-24,revision_humana,
EL CUBO COLSUBSIDIO,centro_eventos_carpa,1.0,624,1,2026-09-24,revision_humana,
EL CAMPINCITO,parque_aire_libre,1.0,14000,1,2026-09-24,revision_humana,
COLECTIVO TEATRAL INFINITO - CALI,otro,1.0,65,3,2026-09-24,revision_humana,
"COPA AMERICA - LEVI’S STADIUM, SANTA CLARA, CALIFORNIA",estadio_abierto,1.0,100,1,2026-09-24,revision_humana,
HACIENDA SAN RAFAEL,otro,1.0,1000,3,2026-09-24,revision_humana,
"HACIENDA FIZEBAD, EL RETIRO",otro,1.0,1500,3,2026-09-24,revision_humana,
CENTRO DE CONVENCIONES - CL 26 NTE #11-21,centro_eventos_carpa,1.0,1200,1,2026-09-24,revision_humana,
CENTRO DE FELICIDAD SEDE CHAPINERO,centro_eventos_carpa,1.0,12,3,2026-09-24,revision_humana,
HANGAR PARK,centro_eventos_carpa,1.0,7056,1,2026-09-24,revision_humana,
HOTEL BARRANQUILLA PLAZA,centro_eventos_carpa,1.0,300,2,2026-09-24,revision_humana,
PARQUE MANUEL MURILLO TORO,parque_aire_libre,1.0,1200,1,2026-09-24,revision_humana,
CENTRO COMERCIAL PLAZA CLARO,otro,1.0,118,2,2026-09-24,revision_humana,
CENTRO CULTURAL HECTOR POLANIA SANCHEZ - PITALITO HUILA,otro,1.0,160,2,2026-09-24,revision_humana,
UNIVERSIDAD DISTRITAL - FACULTAD DE ARTES ASAB,auditorio,1.0,20,2,2026-09-24,revision_humana,
COLEGIO BURECHE - KM 2 VIA GAIRA,auditorio,1.0,700,2,2026-09-24,revision_humana,
EL GRAN CAFE - PEREIRA,bar_club,1.0,100,2,2026-09-24,revision_humana,
EL TEMPLO DEL ROCK - CRA 44 #74-05 B/QUILLA,bar_club,1.0,100,2,2026-09-24,revision_humana,
HYATT PLACE,otro,1.0,96,2,2026-09-24,revision_humana,
NEOMUNDO CENTRO EVENTOS Y CONVENCIONES,centro_eventos_carpa,1.0,2000,2,2026-09-24,revision_humana,
PLATAFORMA ZOOM,otro,1.0,50,2,2026-09-24,revision_humana,
MEZCAL MEXICAN CANTINA - BOGOTA,bar_club,1.0,500,1,2026-09-24,revision_humana,
MBS THEATER,teatro,1.0,880,1,2026-09-24,revision_humana,
"CASA DE LA CULTURA ""LUCELLY GARCIA DE MONTOYA"" - CALARCA",cine_sala_cultural,1.0,320,2,2026-09-24,revision_humana,
AVENIDA SANTANDER #59-10 - MANIZALES,otro,1.0,100,2,2026-09-24,revision_humana,
BORO ROOM,bar_club,1.0,700,2,2026-09-24,revision_humana,
BARRIO FINO - CALLE 26 # 43G-30  MEDELLIN,otro,1.0,150,2,2026-09-24,revision_humana,
PLAZOLETA CENTRO COMERCIAL GRAN ESTACION,centro_eventos_carpa,1.0,220,2,2026-09-24,revision_humana,
HOTEL OBELISCO CALI,centro_eventos_carpa,1.0,10,2,2026-09-24,revision_humana,
HOTEL LA FONTANA,centro_eventos_carpa,1.0,115,2,2026-09-24,revision_humana,
HOTEL DANN CARLTON,centro_eventos_carpa,1.0,1400,2,2026-09-24,revision_humana,
PLAZA CULTURAL SANTAMARIA,parque_aire_libre,1.0,8000,2,2026-09-24,revision_humana,
GUITARRA & COFFEE - BARRIO LAURELES,bar_club,1.0,90,2,2026-09-24,revision_humana,
CENTRO COMERCIAL MAYORCA,centro_eventos_carpa,1.0,12000,1,2026-09-24,revision_humana,
CASA PARAMO - PASTO,bar_club,1.0,70,2,2026-09-24,revision_humana,
AVENIDA BOLIVAR #13N-07 - ARMENIA,parque_aire_libre,1.0,80,2,2026-09-24,revision_humana,
"CARRERA 6 Nº 4-41 SEGUNDO PISO, VILLETA",parque_aire_libre,1.0,150,1,2026-09-24,revision_humana,
CAMARA DE COMERCIO - CRA 12 NO 6-29B EL ROSARIO GARZON,otro,1.0,200,1,2026-09-24,revision_humana,
CALLE 42 # 1 - 02 TERRAZA COMEDY HOUSE - TUNJA,bar_club,1.0,65,1,2026-09-24,revision_humana,
CAPILLA DE LOS SANTO APOSTOLES DEL GIMNASIO MODERNO,otro,1.0,280,1,2026-09-24,revision_humana,
INCOLBALLET SEDE CENTRAL,otro,1.0,500,1,2026-09-24,revision_humana,
MUDDY´S ROCK CAFE - CALLE 33B # 40 - 68,bar_club,1.0,40,1,2026-09-24,revision_humana,
MUNICIPAL MUSICA VIVA - BUCARAMANGA,otro,1.0,150,1,2026-09-24,revision_humana,
PANACA QUINDIO,centro_eventos_carpa,1.0,10000,1,2026-09-24,revision_humana,
MR BEEF - FUSAGASUGA,otro,1.0,160,1,2026-09-24,revision_humana,
CAJACOPI PRADO,otro,1.0,700,1,2026-09-24,revision_humana,
JUANKA PUNTA DE ANCA - SOGAMOSO,otro,1.0,190,1,2026-09-24,revision_humana,
CENTRO SOCIAL DE AGENTES Y PATRULLEROS,otro,1.0,500,1,2026-09-24,revision_humana,
KIMERA FOOD AND DRINKS,bar_club,1.0,500,1,2026-09-24,revision_humana,
CENTRO COMERCIAL BAZAAR 80,otro,1.0,130,1,2026-09-24,revision_humana,
LA MILAGROSA - CALLE 8 #78-35 BARRIO CASTILLA,bar_club,1.0,100,1,2026-09-24,revision_humana,
LA SALITA,otro,1.0,45,1,2026-09-24,revision_humana,
LICEO FRANCES - CARRERA 8 NO 86 - 50,auditorio,1.0,200,1,2026-09-24,revision_humana,
THE CHURCH MEDELLIN,bar_club,1.0,1000,1,2026-09-24,revision_humana,
TIENDA DE TOO GEEK,otro,1.0,500,1,2026-09-24,revision_humana,
"TONIKA VIP - CHAPARRAL, TOLIMA",otro,1.0,300,1,2026-09-24,revision_humana,
CASA EL ROSAL,otro,1.0,600,1,2026-09-24,revision_humana,
"LOS CAPACHOS - KM 4 VIA ACACIAS, 472 (VILLAVICENCIO)",bar_club,1.0,450,1,2026-09-24,revision_humana,
CASA DANN CARLTON HOTEL - SALON BRITANIA CALLE 93B 19-44,centro_eventos_carpa,1.0,690,1,2026-09-24,revision_humana,
CENTRO COMERCIAL EL TESORO,otro,1.0,400,1,2026-09-24,revision_humana,
EL GATO QUE LEE Y TOMA CAFE -  CALLE 70 11 48,bar_club,1.0,30,1,2026-09-24,revision_humana,
AUTOPISTA NORTE #232-0 - EL PARCHE DE NAIRO,otro,1.0,650,1,2026-09-24,revision_humana,
SEDE GABRIEL OCHOA URIBE (CASCAJAL),otro,1.0,397,1,2026-09-24,revision_humana,
SAN BONIFACIO,otro,1.0,400,1,2026-09-24,revision_humana,
BARRANQUILLA  CALLE 106 NO 50-11,otro,1.0,200,1,2026-09-24,revision_humana,
CABARET ROSA,bar_club,1.0,70,1,2026-09-24,revision_humana,
BORA BORA - CALLE 8 #19-32 - LA MESA,otro,1.0,100,1,2026-09-24,revision_humana,
HOTEL HACARITAMA COLONIAL - VILLAVICENCIO,centro_eventos_carpa,1.0,300,1,2026-09-24,revision_humana,
"HOTEL EL PRADO (CARRERA 54 #70-10, NORTE CENTRO HISTORICO)",centro_eventos_carpa,1.0,209,1,2026-09-24,revision_humana,
HOTEL HOLIDAY INN CL 11A #1E – 132 | CUCUTA,centro_eventos_carpa,1.0,310,1,2026-09-24,revision_humana,
"HOTEL JW MARRIOTT BOGOTA - CL 73 #8-60, CHAPINERO",centro_eventos_carpa,1.0,300,1,2026-09-24,revision_humana,
HOTEL ESTELAR CARTAGENA,centro_eventos_carpa,1.0,828,1,2026-09-24,revision_humana,
HOTEL SAN FERNANDO PLAZA,centro_eventos_carpa,1.0,150,1,2026-09-24,revision_humana,
HOTEL SONESTA BOGOTA,centro_eventos_carpa,1.0,160,1,2026-09-24,revision_humana,
HOTEL SHERATON BOGOTA - CL 25B #Nº 69 C-80,centro_eventos_carpa,1.0,700,1,2026-09-24,revision_humana,
EL REY - CALLE 24C #75-69 - BOGOTA,bar_club,1.0,150,1,2026-09-24,revision_humana,
ESPACIO VASTO - PEREIRA,otro,1.0,112,1,2026-09-24,revision_humana,
DISCOTECA DULCINEA CALLE 44 NO 69-96 LAURELES,bar_club,1.0,600,1,2026-09-24,revision_humana,
DAVIARENA,arena_cubierta,1.0,20,1,2026-09-24,revision_humana,
FLOW MULTIESPACIO - DUITAMA,otro,1.0,350,1,2026-09-24,revision_humana,
"FOLK HOUSE - CALLE 25 #19-25, PISO 2 PAIPA",parque_aire_libre,1.0,40,1,2026-09-24,revision_humana,
HACIENDA MARQUEZ,otro,1.0,1656,1,2026-09-24,revision_humana,
HACIENDA MAANITAS,otro,1.0,2000,1,2026-09-24,revision_humana,
FOUR SEASONS HOTEL AND RESIDENCES - SALON DE LA VERACRUZ,centro_eventos_carpa,1.0,280,1,2026-09-24,revision_humana,
CENTRO HISTORICO DE CALI - CALLE 6 #4-32,parque_aire_libre,1.0,40,1,2026-09-24,revision_humana,
VORTICE -  CALI,otro,1.0,30,1,2026-09-24,revision_humana,
ZONA E MARRAKESH,otro,1.0,950,1,2026-09-24,revision_humana,
