site,type_site,confianza,aforo_max,funciones,fecha_clasificacion,fuente,modelo_llm
ESTADIO METROPOLITANO,estadio_abierto,0.985,45904,13,2026-09-24,reglas_heuristicas,
SALA GAITAN,teatro,0.985,168,69,2026-09-24,reglas_heuristicas,
TEATRO UNIVERSIDAD DE MEDELLIN,teatro,0.95,1702,16,2026-09-24,reglas_heuristicas,
COLISEO MAYOR JORGE ARANGO URIBE,arena_cubierta,0.985,1965,9,2026-09-24,reglas_heuristicas,
CENTRO NACIONAL DE LAS ARTES - SALA TEATRO,teatro,0.985,771,7,2026-09-24,reglas_heuristicas,
POLIDEPORTIVO SUR,parque_aire_libre,0.9,10500,38,2026-09-24,reglas_heuristicas,
NECTAR ARENA CENTRO DE EVENTOS,arena_cubierta,0.985,10499,7,2026-09-24,reglas_heuristicas,
ROYAL CENTER,teatro,0.985,3200,17,2026-09-24,reglas_heuristicas,
"TEATRO LA CONCHA - CL 4 #10-48, CALI, VALLE DEL CAUCA",teatro,0.95,76,49,2026-09-24,reglas_heuristicas,
CENTRO DE CONVENCIONES CARTAGENA,centro_eventos_carpa,0.985,1800,7,2026-09-24,reglas_heuristicas,
COLISEO ELIAS CHEGWIN,arena_cubierta,0.985,2650,20,2026-09-24,reglas_heuristicas,
BIBLOS CAR WASH,otro,0.9,6213,4,2026-09-24,reglas_heuristicas,
TEATRO MUNICIPAL GUADALAJARA DE BUGA,teatro,0.95,500,9,2026-09-24,reglas_heuristicas,
COLISEO DEL COLEGIO DE LA PRESENTACION,arena_cubierta,0.91,5264,17,2026-09-24,reglas_heuristicas,
PARQUE NORTE - LA SOLAR,parque_aire_libre,0.985,9000,6,2026-09-24,reglas_heuristicas,
TEATRO JOSE CONSUEGRA HIGGINS,teatro,0.95,720,16,2026-09-24,reglas_heuristicas,
AUDITORIO UNIVERSIDAD NACIONAL MANIZALES - CRA 27 #62-56,auditorio,0.985,500,36,2026-09-24,reglas_heuristicas,
CAFE INTERNET - SAN FELIPE - CALLE 76 # 20B - 65,otro,0.985,30,33,2026-09-24,reglas_heuristicas,
CENTRO CULTURAL DEL GIMNASIO MODERNO,teatro,0.985,586,13,2026-09-24,reglas_heuristicas,
PLAZA MAYOR,centro_eventos_carpa,0.985,10000,26,2026-09-24,reglas_heuristicas,
RANCHO MX,bar_club,0.985,6298,2,2026-09-24,reglas_heuristicas,
ESTADIO JOSE AMERICO MONTANINI,estadio_abierto,0.985,36649,2,2026-09-24,reglas_heuristicas,
TEATRO MUNICIPAL GUILLERMO VALENCIA - POPAYAN,teatro,0.95,801,8,2026-09-24,reglas_heuristicas,
TEATRO TOLIMA - CRA 3 # 11A - 2,teatro,0.95,1000,8,2026-09-24,reglas_heuristicas,
JARDIN BOTANICO - ORQUIDEORAMA,parque_aire_libre,0.985,6000,7,2026-09-24,reglas_heuristicas,
TEATRO CASSIA,teatro,0.95,924,9,2026-09-24,reglas_heuristicas,
DIAMANTE DE BEISBOL - MEDELLIN,estadio_abierto,0.985,15332,3,2026-09-24,reglas_heuristicas,
ESTADIO JAIME MORON,estadio_abierto,0.985,27286,2,2026-09-24,reglas_heuristicas,
UNIVERSIDAD DE LA SABANA,auditorio,0.985,587,9,2026-09-24,reglas_heuristicas,
TEATRO PIGOANZA - CRA 4 NO 8 - 53,teatro,0.95,776,11,2026-09-24,reglas_heuristicas,
ARENA CAAVERALEJO - CALI (AJUSTE),arena_cubierta,0.985,14200,3,2026-09-24,reglas_heuristicas,
TEATRO UNIVERSIDAD DEL ATLANTICO,teatro,0.95,1007,6,2026-09-24,reglas_heuristicas,
ARENA CAAVERALEJO,arena_cubierta,0.985,8863,5,2026-09-24,reglas_heuristicas,
AUDITORIO CONFA MANIZALES - CRA 25 CLL 50 ESQUINA,auditorio,0.93,226,24,2026-09-24,reglas_heuristicas,
EXPLANADA- PUERTA DE ORO,centro_eventos_carpa,0.985,16790,2,2026-09-24,reglas_heuristicas,
"COLEGIO LA ENSEANZA - CL 9 SUR #37-345, MEDELLIN",auditorio,0.985,804,8,2026-09-24,reglas_heuristicas,
AUDITORIO CORFERIAS,centro_eventos_carpa,0.985,757,5,2026-09-24,reglas_heuristicas,
PLAZA DE TOROS CARTAGENA,parque_aire_libre,0.895,10500,3,2026-09-24,reglas_heuristicas,
ESTADIO EDGAR RENTERIA - LEONES,estadio_abierto,0.985,10000,23,2026-09-24,reglas_heuristicas,
WOW RESTAURANTE BAR,bar_club,0.985,50,22,2026-09-24,reglas_heuristicas,
CRA 23 # 50-  66 - DITIRAMBO TEATRO,teatro,0.95,120,22,2026-09-24,reglas_heuristicas,
CHAMORRO CITY HALL - AUTO NTE #153-81,centro_eventos_carpa,0.985,6350,9,2026-09-24,reglas_heuristicas,
TEATRO CASA TEATROVA,teatro,0.95,103,22,2026-09-24,reglas_heuristicas,
TEATRO LA FACTORIA TINO FERNANDEZ - FUNDACION L’EXPLOSE,teatro,0.95,96,21,2026-09-24,reglas_heuristicas,
AUDITORIO SONIA FAJARDO FORERO,auditorio,0.93,230,10,2026-09-24,reglas_heuristicas,
PALACIO DE LOS DEPORTES,arena_cubierta,0.985,3272,3,2026-09-24,reglas_heuristicas,
TEATRO R101,teatro,0.95,83,20,2026-09-24,reglas_heuristicas,
TEATRO LIBRE DE CHAPINERO,teatro,0.95,567,5,2026-09-24,reglas_heuristicas,
SALITRE MAGICO,parque_aire_libre,0.985,1530,4,2026-09-24,reglas_heuristicas,
ESTADIO GENERAL SANTANDER - SILVESTRE 2024,estadio_abierto,0.985,23335,1,2026-09-24,reglas_heuristicas,
TEATRO TALLER DE COLOMBIA,teatro,0.95,160,19,2026-09-24,reglas_heuristicas,
FUNDACION ESCENICA CALI TEATRO - CRA 12 # 4 - 51,teatro,0.95,150,17,2026-09-24,reglas_heuristicas,
CAFE INTERNET - BOGOTA,otro,0.985,50,18,2026-09-24,reglas_heuristicas,
TEATRO HILOS MAGICOS,teatro,0.95,150,18,2026-09-24,reglas_heuristicas,
ESTACION METRO LA ESTRELLA,otro,0.985,460,3,2026-09-24,reglas_heuristicas,
ESTADIO JARAGUAY,estadio_abierto,0.985,7500,3,2026-09-24,reglas_heuristicas,
CENTRO DE EVENTOS CENFER,centro_eventos_carpa,0.985,9803,4,2026-09-24,reglas_heuristicas,
LABORARTORIO 1 Y 2,otro,0.985,50,18,2026-09-24,reglas_heuristicas,
PARQUE METROPOLITANO SIMON BOLIVAR,parque_aire_libre,0.985,19181,4,2026-09-24,reglas_heuristicas,
TEATRO LIBRE CENTRO,teatro,0.95,170,17,2026-09-24,reglas_heuristicas,
CARRERA 50 BARRANQUILLA,parque_aire_libre,0.985,15000,16,2026-09-24,reglas_heuristicas,
TEATRO LA CANDELARIA,teatro,0.95,200,16,2026-09-24,reglas_heuristicas,
CENTRO DE EVENTOS AUTOPISTA NORTE,centro_eventos_carpa,0.985,6180,2,2026-09-24,reglas_heuristicas,
HOTEL ATOLON BEACH CLUB,bar_club,0.915,6000,2,2026-09-24,reglas_heuristicas,
CARPA AMERICAS CORFERIAS,centro_eventos_carpa,0.985,6620,2,2026-09-24,reglas_heuristicas,
COUNTRY CLUB DE BOGOTA - CL 127C #15-2,bar_club,0.915,1144,3,2026-09-24,reglas_heuristicas,
